accuracy,precision,recall,f1,TN,FP,FN,TP,k_features,algorithm,model
0.9788883770919699,0.0,0.0,0.0,12751,29,246,0,2,in-built feature_importance,CatBoostClassifier
0.9507139567019807,0.03953488372093023,0.06910569105691057,0.05029585798816568,12367,413,229,17,4,in-built feature_importance,CatBoostClassifier
0.9549362812835867,0.04043126684636118,0.06097560975609756,0.04862236628849271,12424,356,231,15,6,in-built feature_importance,CatBoostClassifier
0.9570858283433133,0.04105571847507331,0.056910569105691054,0.04770017035775128,12453,327,232,14,8,in-built feature_importance,CatBoostClassifier
0.9570858283433133,0.04105571847507331,0.056910569105691054,0.04770017035775128,12453,327,232,14,10,in-built feature_importance,CatBoostClassifier
0.9601566098572086,0.043478260869565216,0.052845528455284556,0.047706422018348627,12494,286,233,13,12,in-built feature_importance,CatBoostClassifier
0.9623061569169353,0.06713780918727916,0.07723577235772358,0.07183364839319471,12516,264,227,19,14,in-built feature_importance,CatBoostClassifier
0.9603869184707509,0.06451612903225806,0.08130081300813008,0.07194244604316546,12490,290,226,20,16,in-built feature_importance,CatBoostClassifier
0.9600798403193613,0.060897435897435896,0.07723577235772358,0.06810035842293907,12487,293,227,19,18,in-built feature_importance,CatBoostClassifier
0.9575464455703977,0.05763688760806916,0.08130081300813008,0.06745362563237774,12453,327,226,20,20,in-built feature_importance,CatBoostClassifier
0.9574696760325503,0.05232558139534884,0.07317073170731707,0.061016949152542375,12454,326,228,18,22,in-built feature_importance,CatBoostClassifier
0.9579302932596345,0.05847953216374269,0.08130081300813008,0.06802721088435375,12458,322,226,20,24,in-built feature_importance,CatBoostClassifier
0.957623215108245,0.05263157894736842,0.07317073170731707,0.061224489795918366,12456,324,228,18,26,in-built feature_importance,CatBoostClassifier
0.960233379395056,0.06687898089171974,0.08536585365853659,0.075,12487,293,225,21,28,in-built feature_importance,CatBoostClassifier
0.9626132350683249,0.07420494699646643,0.08536585365853659,0.07939508506616257,12518,262,225,21,30,in-built feature_importance,CatBoostClassifier
0.9643021649009673,0.06719367588932806,0.06910569105691057,0.06813627254509018,12544,236,229,17,32,in-built feature_importance,CatBoostClassifier
0.9646092430523568,0.05761316872427984,0.056910569105691054,0.05725971370143149,12551,229,232,14,34,in-built feature_importance,CatBoostClassifier
0.9636112390603409,0.05813953488372093,0.06097560975609756,0.05952380952380952,12537,243,231,15,36,in-built feature_importance,CatBoostClassifier
0.9646092430523568,0.06827309236947791,0.06910569105691057,0.06868686868686869,12548,232,229,17,38,in-built feature_importance,CatBoostClassifier
0.9649930907415938,0.0625,0.06097560975609756,0.06172839506172839,12555,225,231,15,40,in-built feature_importance,CatBoostClassifier
0.9641486258252725,0.05622489959839357,0.056910569105691054,0.05656565656565657,12545,235,232,14,45,in-built feature_importance,CatBoostClassifier
0.964839551665899,0.06557377049180328,0.06504065040650407,0.0653061224489796,12552,228,230,16,50,in-built feature_importance,CatBoostClassifier
0.964839551665899,0.06198347107438017,0.06097560975609756,0.06147540983606557,12553,227,231,15,55,in-built feature_importance,CatBoostClassifier
0.9651466298172885,0.059322033898305086,0.056910569105691054,0.058091286307053944,12558,222,232,14,60,in-built feature_importance,CatBoostClassifier
0.9659143251957624,0.06578947368421052,0.06097560975609756,0.06329113924050633,12567,213,231,15,65,in-built feature_importance,CatBoostClassifier
0.9661446338093045,0.06666666666666667,0.06097560975609756,0.06369426751592357,12570,210,231,15,70,in-built feature_importance,CatBoostClassifier
0.9653769384308306,0.06382978723404255,0.06097560975609756,0.062370062370062374,12560,220,231,15,75,in-built feature_importance,CatBoostClassifier
0.964839551665899,0.06198347107438017,0.06097560975609756,0.06147540983606557,12553,227,231,15,80,in-built feature_importance,CatBoostClassifier
0.9669890987256257,0.0660377358490566,0.056910569105691054,0.0611353711790393,12582,198,232,14,85,in-built feature_importance,CatBoostClassifier
0.9659143251957624,0.06578947368421052,0.06097560975609756,0.06329113924050633,12567,213,231,15,90,in-built feature_importance,CatBoostClassifier
0.9671426378013205,0.07075471698113207,0.06097560975609756,0.06550218340611354,12583,197,231,15,95,in-built feature_importance,CatBoostClassifier
0.9666052510363887,0.0684931506849315,0.06097560975609756,0.06451612903225806,12576,204,231,15,100,in-built feature_importance,CatBoostClassifier
0.9788883770919699,0.0,0.0,0.0,12751,29,246,0,2,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9507139567019807,0.03953488372093023,0.06910569105691057,0.05029585798816568,12367,413,229,17,4,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9549362812835867,0.04043126684636118,0.06097560975609756,0.04862236628849271,12424,356,231,15,6,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9577767541839398,0.04216867469879518,0.056910569105691054,0.04844290657439446,12462,318,232,14,8,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9593121449408875,0.04487179487179487,0.056910569105691054,0.05017921146953405,12482,298,232,14,10,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9600798403193613,0.060897435897435896,0.07723577235772358,0.06810035842293907,12487,293,227,19,12,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9620758483033932,0.07241379310344828,0.08536585365853659,0.07835820895522388,12511,269,225,21,14,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9588515277138031,0.06060606060606061,0.08130081300813008,0.06944444444444445,12470,310,226,20,16,in-built feature_importance with multicollinearity removed,CatBoostClassifier
0.9584676800245663,0.05970149253731343,0.08130081300813008,0.06884681583476764,12465,315,226,20,18,in-built feature_importance with multicollinearity removed,CatBoostClassifier
