Feature,SHAP Importance
col_13,0.003456674500402503
col_14,5.114779060500045e-05
col_15,8.364234743697867e-05
col_16,0.0
col_17,3.93801433064462e-05
col_18,0.0
col_19,8.848011034949695e-05
col_20,0.0
col_21,0.0
col_22,0.0031181622831993774
col_23,0.0
col_24,5.406938605561255e-05
col_25,0.0
col_26,0.0
col_27,0.0
col_28,0.0
col_29,0.0
col_30,0.0
col_31,0.0
col_32,0.0007341261409750941
col_33,0.0015867922661860752
col_34,0.0006100853106677186
col_35,0.00021278680665252038
col_36,0.0
col_37,0.0004231517312422356
col_38,0.00013274829791424232
col_39,0.0
col_41,0.0
col_42,0.0
col_44,0.0
col_45,0.0014005451650978403
col_47,6.325288650081898e-05
col_48,0.0010510886914355173
col_49,0.0
col_50,0.00011148069466193501
col_52,0.00017059458942408895
col_53,0.00022858428419291434
col_54,0.0
col_55,0.00016827294538307333
col_57,0.0
col_58,0.0
col_59,0.0
col_60,0.0
col_62,0.0
col_63,0.0
col_64,0.0
col_65,0.00013626780055921088
col_67,0.0
col_68,3.404043151512278e-05
col_69,0.0
col_70,0.0
col_72,0.0
col_73,5.075510899697085e-05
col_74,0.0
col_75,0.00018433762419672569
col_77,0.0
col_78,0.0011057463911812277
col_79,0.0
col_80,0.002916358891725172
col_81,0.0
col_82,0.0
col_83,0.0
col_84,0.0002012049848456785
col_85,0.0
col_86,0.00011846136266904684
col_87,0.003742586190750124
col_88,0.0001227026728489449
col_89,0.00022580274889633093
col_90,0.0
col_91,3.112982059771618e-05
col_92,0.0
col_93,2.912216220944806e-05
col_94,0.0
col_95,0.0
col_96,0.0
col_97,0.00048776959922363386
col_98,0.0
col_99,0.0
col_100,3.953714140080848e-05
col_101,0.0
col_102,0.0
col_103,0.006861926171851245
col_104,0.0006004581746755263
col_105,0.0
col_106,8.697662093493584e-05
col_107,0.0
col_108,0.0002981341796251412
col_109,0.0
col_110,0.0
col_111,0.0
col_112,0.0015548437731973976
col_113,1.901480378900606e-05
col_114,0.0
col_115,0.0
col_116,0.00015968988423713078
col_117,0.0
col_118,0.00010040607680201127
col_119,0.0
col_120,0.00030116446294724736
col_121,0.0
col_122,5.90048333200138e-05
col_123,0.0
col_124,0.0
col_125,0.0
col_126,0.00011968612444909832
col_127,0.0
col_128,0.0
col_129,0.0
col_130,0.004654191948026963
col_131,0.0
col_132,0.0032460893658630323
col_133,0.0
col_134,0.0
col_135,0.0
col_136,0.0
col_137,0.06413922225414077
col_138,0.0
col_139,0.0
col_140,0.0
col_141,0.00012071493924125817
col_142,0.0014858300800868194
col_150,0.0
col_153,0.0013197608673953926
col_154,0.00027409956570244326
col_155,0.0
col_156,0.0
col_157,0.0
col_158,0.0020372969798523204
col_159,0.0
col_160,0.0
col_161,0.0
col_162,0.0
col_163,0.0
col_164,0.0002590049351713423
col_173,0.007765882955383242
col_179,0.0
col_180,0.003078014395540274
col_181,0.0
col_182,0.0
col_183,4.667157771115093e-05
col_184,0.0010353974906561667
col_185,0.0008920065210723063
col_186,0.0
col_187,0.0
col_188,0.0
col_189,0.0
col_190,3.2347483861735984e-05
col_191,0.0
col_192,0.0
col_193,0.0
col_194,0.0
col_195,0.0
col_196,0.0
col_197,0.0
col_198,0.0
col_199,0.0
col_200,0.0
col_201,0.0
col_202,0.0
col_203,0.0
col_205,0.08613194423468537
col_206,0.00024212849582957608
col_207,0.00021691847949158115
col_208,0.0001992064004743601
col_209,5.2277743697075034e-05
col_210,0.0006745713397490923
col_211,0.0011166334733380186
col_212,9.202138141491711e-05
col_213,0.0005321961901304665
col_214,0.0002716776184859742
col_215,6.103619489708545e-05
col_216,0.0
col_218,0.0002944135243898403
col_219,0.0
col_220,5.027587599929215e-05
col_221,0.0
col_222,0.0
col_223,0.0
col_224,0.0
col_225,0.0012232858889647444
col_226,0.0
col_227,3.1260931386220565e-05
col_229,0.0
col_231,0.0001547279375659183
col_234,0.3804920427698514
