accuracy,precision,recall,f1,TN,FP,FN,TP,cv_fold,params
0.9352015355086373,0.05105105105105105,0.13821138211382114,0.07456140350877193,12147,632,212,34,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9303646833013436,0.06108897742363878,0.18699186991869918,0.0920920920920921,12072,707,200,46,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.930978886756238,0.06056527590847914,0.18292682926829268,0.0910010111223458,12081,698,201,45,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9356621880998081,0.0621301775147929,0.17073170731707318,0.0911062906724512,12145,634,204,42,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9306717850287908,0.06490066225165562,0.1991869918699187,0.0979020979020979,12073,706,197,49,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9329750479846449,0.052781740370898715,0.15040650406504066,0.0781414994720169,12115,664,209,37,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9329750479846449,0.06397774687065369,0.18699186991869918,0.09533678756476684,12106,673,200,46,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9295201535508637,0.05789473684210526,0.17886178861788618,0.0874751491053678,12063,716,202,44,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9385028790786948,0.060221870047543584,0.15447154471544716,0.08665906499429875,12186,593,208,38,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9299040307101727,0.06176084099868594,0.1910569105691057,0.09334657398212512,12065,714,199,47,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9340499040307102,0.05124450951683748,0.14227642276422764,0.07534983853606028,12131,648,211,35,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9306717850287908,0.06605019815059446,0.2032520325203252,0.09970089730807577,12072,707,196,50,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9330518234165067,0.05413105413105413,0.15447154471544716,0.08016877637130802,12115,664,208,38,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9368138195777351,0.060882800608828,0.16260162601626016,0.08859357696567,12162,617,206,40,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.931746641074856,0.06377204884667571,0.1910569105691057,0.09562563580874874,12089,690,199,47,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.934126679462572,0.05263157894736842,0.14634146341463414,0.07741935483870968,12131,648,210,36,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
